"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;19.07.2011;1843,8;1848,4;1820,4;1826,8
GC3-067;20.07.2011;1825,4;1840,3;1818,8;1840,0
GC3-067;21.07.2011;1839,6;1842,7;1822,6;1828,1
GC3-067;22.07.2011;1827,4;1845,4;1820,9;1837,3
GC3-067;25.07.2011;1845,6;1862,0;1841,5;1852,7
GC3-067;26.07.2011;1852,5;1858,5;1845,5;1857,7
GC3-067;27.07.2011;1857,5;1866,5;1846,6;1851,9
GC3-067;28.07.2011;1851,9;1858,3;1840,5;1854,5
GC3-067;29.07.2011;1854,8;1872,6;1848,3;1864,1
GC3-067;01.08.2011;1857,3;1869,6;1843,3;1857,6
GC3-067;02.08.2011;1857,7;1899,6;1853,9;1897,6
GC3-067;03.08.2011;1897,6;1911,0;1889,5;1898,6
GC3-067;04.08.2011;1898,0;1920,0;1877,3;1886,5
GC3-067;05.08.2011;1884,8;1908,1;1879,3;1900,9
GC3-067;08.08.2011;1916,8;1958,5;1916,8;1954,9
GC3-067;09.08.2011;1955,0;2017,6;1952,8;1981,7
GC3-067;10.08.2011;1982,5;2036,1;1975,3;2032,9
GC3-067;11.08.2011;2033,1;2052,7;1969,6;2005,1
GC3-067;12.08.2011;2002,6;2006,0;1960,9;1984,2
GC3-067;15.08.2011;1982,2;2004,4;1965,9;2003,6
